file,selector,type,key_hint,text;;;;;
.\gallery\index.html,html > body > main#lightgallery > a.gallery-item.cocktail:nth-of-type(26) > img,attr:alt,,Mojito Strawberry;;;;;
.\gallery\index.html,html > body > main#lightgallery > a.gallery-item.tartas:nth-of-type(27) > img,attr:alt,,Tarta Kinder;;;;;
.\gallery\index.html,html > body > main#lightgallery > a.gallery-item.tartas:nth-of-type(28) > img,attr:alt,,Tarta Colibri;;;;;
.\gallery\index.html,html > body > main#lightgallery > a.gallery-item.tartas:nth-of-type(29) > img,attr:alt,,Tarta Chocoframbuesa;;;;;
.\gallery\index.html,html > body > main#lightgallery > a.gallery-item.tartas:nth-of-type(30) > img,attr:alt,,Angels Food;;;;;
.\gallery\index.html,html > body > main#lightgallery > a.gallery-item.tartas:nth-of-type(31) > img,attr:alt,,Tarta Manzana;;;;;
.\gallery\index.html,html > body > main#lightgallery > a.gallery-item.tartas:nth-of-type(32) > img,attr:alt,,Tarta Polvito;;;;;
.\gallery\index.html,html > body > main#lightgallery > a.gallery-item.tartas:nth-of-type(33) > img,attr:alt,,Tarta de Calabaza;;;;;
.\gallery\index.html,html > body > main#lightgallery > a.gallery-item.cocktail:nth-of-type(34) > img,attr:alt,,Batido Oreo;;;;;
.\gallery\index.html,html > body > main#lightgallery > a.gallery-item.cafe:nth-of-type(35) > img,attr:alt,,Caffè 2;;;;;
.\gallery\index.html,html > body > main#lightgallery > a.gallery-item.cafe:nth-of-type(36) > img,attr:alt,,Caffè 3;;;;;
.\home\index.html,,innerText,,html;;;;;
.\home\index.html,html > head > meta:nth-of-type(2) > title#pageTitle,innerText,,Menuria One;;;;;
".\home\index.html,html > body,innerText,,""🌐 Popup lingue <div id=""""languagePopup"""" class=""""popup-overlay"""" style=""""display:flex";"> <div class=""""popup-box""""> <h2 data-i18n=""""lang_popup_title"""">🌐 Elige tu idioma</h2> <p data-i18n=""""lang_popup_choose"""">Selecciona tu idioma preferido para continuar.</p> <h2 data-i18n=""""lang_popup_title"""">🌐 Select</h2> <label style=""""display:flex";align-items:center;gap:8px;margin:8px 0;"> <input type=""""checkbox"""" id=""""neverShowLangPopup""""> <span data-i18n=""""lang_never_again"""">never show again</span> </label> <button type=""""button"""" onclick=""""closeLanguagePopupHard()"""">Cerrar</button> <div class=""""flag-grid""""> <img src=""""/static/img/flags/Spain-flag.png"""" alt=""""ES"""" onclick=""""selectLanguagePopup('es')""""> <img src=""""/static/img/flags/UK-flag.png"""" alt=""""EN"""" onclick=""""selectLanguagePopup('en')""""> <img src=""""/static/img/flags/Italy-flag.png"""" alt=""""IT"""" onclick=""""selectLanguagePopup('it')""""> <img src=""""/static/img/flags/France-flag.png"""" alt=""""FR"""" onclick=""""selectLanguagePopup('fr')""""> <img src=""""/static/img/flags/Germany-flag.png"""" alt=""""DE"""" onclick=""""selectLanguagePopup('de')""""> <img src=""""/static/img/flags/Portugal-flag.png""""alt=""""PT"""" onclick=""""selectLanguagePopup('pt')""""> <img src=""""/static/img/flags/Russia-flag.png"""" alt=""""RU"""" onclick=""""selectLanguagePopup('ru')""""> </div> </div> </div> <header class=""""top-header""""> <div class=""""top-row""""> <div class=""""left-section language-flags""""> <img src=""""/static/img/flags/Spain-flag.png"""" alt=""""ES"""" onclick=""""setLanguage('es')"""" class=""""active""""> <img src=""""/static/img/flags/UK-flag.png"""" alt=""""EN"""" onclick=""""setLanguage('en')""""> <img src=""""/static/img/flags/Italy-flag.png"""" alt=""""IT"""" onclick=""""setLanguage('it')""""> <img src=""""/static/img/flags/France-flag.png"""" alt=""""FR"""" onclick=""""setLanguage('fr')""""> <img src=""""/static/img/flags/Germany-flag.png"""" alt=""""DE"""" onclick=""""setLanguage('de')""""> <img src=""""/static/img/flags/Portugal-flag.png"""" alt=""""PT"""" onclick=""""setLanguage('pt')""""> <img src=""""/static/img/flags/Russia-flag.png"""" alt=""""RU"""" onclick=""""setLanguage('ru')""""> </div> <div class=""""center-section""""> <h1 id=""""titolo"""" data-i18n=""""home_title"""">Restaurante La Casita del Nazareno</h1> </div> <div class=""""header-right""""> <button class=""""lang-btn"""" onclick=""""openLanguagePopup()"""">🌐 Cambiar idioma</button> <div id=""""visitorLabel"""" class=""""visitor-count"""" data-i18n=""""visitors"""">👥 Visitantes: <span id=""""visitorCounter"""">0</span></div> <div class=""""analytics-link""""><a href=""""/analytics.html"""" id=""""analyticsLink"""" target=""""_blank"""" data-i18n=""""analytics"""">📊 Analíticas</a></div> </div> </div> </header>"""
".\home\index.html,html > body,innerText,,""<div class=""""menu-gallery""""> <div id=""""menuFrame1"""" class=""""menu-frame"""" onclick=""""window.location.href='/menus'""""> <span data-i18n=""""main_menus"""">🍽️ Menú</span> </div> <div id=""""menuFrame2"""" class=""""menu-frame"""" onclick=""""window.location.href='/restaurant'""""> <span data-i18n=""""main_restaurant"""">🏠 El Restaurante</span> </div> <div id=""""menuFrame3"""" class=""""menu-frame"""" onclick=""""window.location.href='/gallery'""""> <span data-i18n=""""main_gallery"""">📸 La Galería</span> </div> </div>""";;;;;
.\home\index.html,html > body,innerText,,FAQ Carousel Nuovo;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > h2#faqTitle,innerText,,❓ Preguntas Frecuentes;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1),innerText,,Bottoni categoria;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-categories-tabs:nth-of-type(1) > button#tab_venue,innerText,,📍 Local;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-categories-tabs:nth-of-type(1) > button#tab_menu,innerText,,🍽️ Menù;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-categories-tabs:nth-of-type(1) > button#tab_servizi,innerText,,🛎️ Servicios;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1),innerText,,Contenitori Carousel;;;;;
